course_code,name,program_id
ECON 3635,TEOR.FINANZAS PARA ECONOMISTAS,26
ARQU 2430,TEORIAS URBANAS,22
IQUI 3042,TALLER DE OPTIMIZACION,9
ICYA 4212,PROPUESTA TESIS MICIV,4
ECON 3762,ECONOM�A POL�TICA DE G�NERO,26
FISI 1023,LABORATORIO DE FISICA BASICA 2,1
BIOL 3324,BIOLOGIA DE LA CONSERVACION,41
IQUI 1002,LAB. INTRODUCCION ING. QUIMICA,9
FISI 6976,PASANTIA V,1
MUSI 2811,CANTO 5,10
FILO 2130,NIETZSCHE,29
MSIN 4303,TESIS II,20
FISI 3816,BIOLOGIA SINTETICA,1
DERE 3802,CONSULTORIO JURIDICO II,35
IBIO 2250,FEN�MENOS DE TRANSPORTE BIOL�G,25
LENG 1120,EFFECTIVE SPEAKING,33
MUSI 2211,CONTRAPUNTO AVANZADO 2,10
IMEC 4701,TESIS 1,21
FISI 4010,MECANICA CUANTICA AVANZADA 1,1
IIND 4213,DISE�O DE EXPERIM. INGE.,8
MUSI 2208,CONTRAPUNTO 1,10
MEDI 3544,INTERNADO SELECTIVO SALUD P.3,15
FISI 6201,INVESTIGACION 1,1
IIND 2401,ANALIS.DECISION INVERSION,8
IMEC 2210,MECANICA FLUIDOS,21
IQUI 2200,DISE�O EXPERIM. ING QUIMIC,9
ANTR 3180,ELECTIVA EN ANTROPOLOGIA,7
MEDI 3533,INTERNADO SELECTIVO INVESTI. 1,15
MATE 4173,ALGEBRA ABSTRACTA 2,2
ANTR 2102,INSTRUMENTOS DE INVESTIGACION,7
LENG 2114,INGLES 4 - LENGUAS Y CULTURA,33
EDUC 6013,INVESTIGACION DOCTORAL,11
FISI 6974,PASANTIA III,1
MBIO 2306,VIROLOGIA-TEO,37
CPOL 3005,INVESTIGACION PROFESORAL,13
ICYA 4308,PRESUP. AN�LISIS CONTROL COSTO,4
ISIS 4004,TUTORIAL ESPECIAL,19
ICYA 3306,SISTEMAS DE TRANSPORTE,4
MUSI 2408,CONJUNTO CUERDAS,10
IIND 3218C,REFUERZO FUND. CALIDAD,8
MEDI 3523,MODULO SELECTIVO II INVESTI. 2,15
MBIT 4102,FINANZAS Y MERCADEO ESTRAT.,23
MSIN 4101,ING CRIPTOGRAFICA Y APLIC SERV,20
ECON 2104,EVAL. ECONOMICA DE PROYECTOS,26
QUIM 1102,LABORATORIO DE QUIMICA GENERAL,5
BIOL 3995,PROFUNDIZACION INVESTIGACION,41
ICYA 3408,TRATAMIENTO AGUAS RESIDUALES,4
CPOL 6523,LECTURAS DIRIGIDAS,13
LENG 2612,ITALIANO 6,33
IELE 3006,OPTIMIZACION,3
ECON 6986,INVESTIGACION TESIS DOCTORAL 7,26
ECON 4645,REGULACION Y COMPETENCIA,26
MATE 1204,CALCULO DIFERENCIAL (HONORES),2
DISE 2607,TIPOGRAFIA EXPERIMENTAL,16
ISIS 2603L,LAB DLLO DE SW EN EQUIPO,19
IIND 4403,TEORIA DE LA DECISION,8
MUSI 2500,TALLER DE COMPOSICION 1,10
CPOL 3300,SEM POLITICA COLOMBIANA,13
MUSI 2807,TALLER L�RICO 3,10
IIND 2106,PROBABILIDAD Y ESTAD�STICA I,8
IIND 2107C,REFUERZO PROBA Y ESTD II,8
MATE 4904,TRABAJO DE GRADO,2
MUSI 2505,COMPOSICION 2,10
PSIC 3987,PSICOLOGIA DE LA SALUD,28
ISIS 2503L,LAB. ARQUITEC. Y DISE�O DE SW,19
HIST 4801,TUTORIAL DE INV. 2- MHIST,32
DISE 2309,PRODUCTO 4,16
MEDI 1216,PATOLOGIA,15
ISIS 3510,CONSTR. APLICACIONES M�VILES,19
ARQU 4303,PROYECTO DE GRADO,22
BIOL 2303,INVERTEBRADOS-LAB,41
BIOL 1312,BIOLOGIA PARA PSICOLOGIA-TEO,41
LITE 3904,SEMINARIO-TRABAJO DE GRADO,43
DISE 1107,ESTUDIO 2,16
IELE 2002,TEOR�A ELECTROMAGN�TICA,3
ARQU 3853,ANALISIS UI ARQU Y BELLEZA,22
MATE 1203,CALCULO DIFERENCIAL,2
MUSI 2801,TALLER L�RICO 1,10
DERE 2402,ARGUMENTACION EN EL PROCESO PE,35
MEDI 3413,ORTOPEDIA,15
ICYA 2402,HIDRAULICA,4
ISIS 1002,ACOMPA�AMIENTO ISIS,19
CONT 2413,CONTABILIDAD EN UN ENTORNO INT,36
MISO 4303,TESIS II,40
ECON 4113,MICRO AVANZ TEORIA DE JUEGOS,26
FISI 3042,TOPICOS EN MECANICA ESTADISTIC,1
IMEC 3701,PROYECTO GRADO,21
ECON 3602,MEMORIA DE GRADO,26
QUIM 6990,SUSTENTACI�N DE TESIS,5
ECON 4662,INTRO ANALIS ESPACIAL DE DATOS,26
ECON 3626,INTR ECON URB Y DEL TRANSPORTE,26
ICYA 4216,PROPUESTA DE TESIS MIAMB,4
LENG 3922,PRACTICA 2,33
MATE 3512,DIN�MICA ESTOC�STICA,2
ICYA 4138,HIDROLOGIA URBANA,4
